Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
Adina Apartment Hotel Melbourne Flinders Street,Excellent,8.8,"2,334",183,Premier One-Bedroom Apartment,Melbourne,Australia
Adina Apartment Hotel Melbourne Southbank,Excellent,8.7,"6,368",133,Studio Apartment - King,Melbourne,Australia
Atlantis Hotel Melbourne,Very Good,8.3,"10,290",86,Executive Queen Suite,Melbourne,Australia
Avani Melbourne Jazz Corner Residences,Very Good,8.5,"1,339",114,Studio,Melbourne,Australia
Brady Apartment Hotel Flinders Street,Very Good,8.4,"2,938",98,Studio Apartment,Melbourne,Australia
Brady Apartment Hotel Hardware Lane,Very Good,8.5,"2,937",103,Studio - Disability Access,Melbourne,Australia
Brady Hotels Central Melbourne,Very Good,8.4,"2,873",97,Brady Queen Room,Melbourne,Australia
Brady Hotels Jones Lane,Very Good,8.5,"3,499",92,King Room,Melbourne,Australia
CitiClub Hotel Melbourne,Good,7.5,"2,841",103,Superior Queen Room,Melbourne,Australia
CLLIX Australia 108 Apartments,Good,7.8,"2,510",180,One-Bedroom Apartment,Melbourne,Australia
Crown Metropol Melbourne,Very Good,8.3,"7,891",,Luxe King Room,Melbourne,Australia
Crown Promenade Melbourne,Very Good,8.4,"9,916",,Standard King Room,Melbourne,Australia
Dorsett Melbourne,Excellent,8.6,"5,557",152,Dorsett King,Melbourne,Australia
Grand Hyatt Melbourne,Excellent,8.7,"5,294",,King Room,Melbourne,Australia
Hotel Collins,Very Good,8.2,"3,672",97,Studio Apartment,Melbourne,Australia
Hotel Grand Chancellor Melbourne,Good,7.9,"10,131",119,Classic Queen Room,Melbourne,Australia
Hotel Indigo Melbourne on Flinders by IHG,Wonderful,9.1,736,149,Premium King Room,Melbourne,Australia
Imagine Lighthouse,Very Good,8,"1,732",125,One-Bedroom Apartment,Melbourne,Australia
Imagine Marco,Good,7.7,"4,508",108,One-Bedroom Apartment,Melbourne,Australia
Laneways by Ovolo,Excellent,8.6,623,174,Downtown Studio,Melbourne,Australia
Lanson Place Parliament Gardens,Wonderful,9.2,313,217,Hotel Room - King,Melbourne,Australia
Mantra on Little Bourke,Very Good,8.4,"1,133",,Executive Studio,Melbourne,Australia
Melbourne Place,Excellent,8.9,96,165,Everyday Queen,Melbourne,Australia
Mercure Welcome Melbourne,Good,7.5,"5,278",,Standard Queen Room,Melbourne,Australia
Nesuto Docklands,Excellent,8.8,"3,793",117,Premium Apartment,Melbourne,Australia
Oaks Melbourne on Lonsdale Suites,Good,7.8,"3,187",131,Studio Apartment,Melbourne,Australia
Oaks Melbourne on Market Hotel,Very Good,8.2,"5,517",120,Studio Apartment,Melbourne,Australia
Oaks Melbourne Southbank Suites,Very Good,8.1,"3,670",114,One-Bedroom Apartment,Melbourne,Australia
Pan Pacific Melbourne,Excellent,8.9,"3,328",,Deluxe Twin Room,Melbourne,Australia
Pegasus Apart-Hotel,Very Good,8.3,"6,816",77,Queen Studio,Melbourne,Australia
QT Melbourne,Wonderful,9,"2,551",219,QT King Room,Melbourne,Australia
Quest Docklands,Excellent,8.7,"2,198",157,One-Bedroom Apartment,Melbourne,Australia
Quest Southbank,Very Good,8.5,"1,283",183,One-Bedroom Apartment,Melbourne,Australia
Radisson On Flagstaff Gardens Melbourne,Very Good,8.4,"3,191",128,Standard Room,Melbourne,Australia
Rydges Melbourne,Excellent,8.9,"3,786",152,King Room,Melbourne,Australia
Stamford Plaza Melbourne,Very Good,8,"9,226",143,Studio Queen Suite,Melbourne,Australia
The Canvas Apartment Hotel,Very Good,8.2,"2,456",97,Deluxe Suite,Melbourne,Australia
The Howey,Excellent,8.6,"1,445",152,Urban Laneway Twin,Melbourne,Australia
The Langham Melbourne,Excellent,8.8,"4,636",,Superior King,Melbourne,Australia
The Savoy Hotel on Little Collins Melbourne,Excellent,8.7,"5,524",163,Savoy King or Twin Room,Melbourne,Australia
The Victoria Hotel,Very Good,8.2,"12,415",96,Heritage Queen Room,Melbourne,Australia
The Windsor,Very Good,8.1,"3,165",131,Traditional Queen Room,Melbourne,Australia
Travelodge Hotel Melbourne Docklands,Very Good,8.2,"9,110",113,Standard King Room,Melbourne,Australia
Treasury on Collins,Wonderful,9.3,900,243,Heritage Queen Suite,Melbourne,Australia
Urban Apartments Melbourne on Elizabeth,Good,7.7,"2,798",131,Deluxe Queen Studio,Melbourne,Australia
Veriu Queen Victoria Market,Wonderful,9,"2,122",163,Veriu Suite - Accessible,Melbourne,Australia
Vibe Hotel Melbourne,Excellent,8.9,"6,237",,Accessible Urban Room King or Twin,Melbourne,Australia
WRAP on Southbank,Very Good,8,"4,511",125,One-Bedroom Apartment,Melbourne,Australia
Wyndham Hotel Melbourne,Very Good,8.4,"1,888",133,One Bedroom Apartment,Melbourne,Australia
YEHS Hotel Melbourne CBD,Good,7.4,"11,186",82,Standard Double Room,Melbourne,Australia
Aquarela do Leme,Wonderful,9.2,"1,370",90,Deluxe Double Room with Balcony and Sea View,Rio de Janeiro,Brazil
Arena Ipanema Hotel,Very Good,8.1,"2,317",175,Standard Double Room,Rio de Janeiro,Brazil
Atlantis Copacabana Hotel,Very Good,8.5,"4,043",,Deluxe Double Room with Sea View,Rio de Janeiro,Brazil
Aurora Hostel Rio,Very Good,8.5,769,54,Quadruple Room,Rio de Janeiro,Brazil
B&B HOTEL Rio Copacabana Forte,Good,7.9,"3,018",,Superior Double Room with Balcony,Rio de Janeiro,Brazil
B&B HOTEL Santos Dumont,Excellent,8.7,"2,210",72,Standard Queen Room,Rio de Janeiro,Brazil
Bourbon Residence Barra da Tijuca - Rio de Janeiro,Very Good,8.4,"2,638",94,Superior Twin Room,Rio de Janeiro,Brazil
Chez Georges,Excellent,8.6,149,250,King Room with Balcony,Rio de Janeiro,Brazil
CLH Suites Domingos Ferreira,Very Good,8,"3,875",123,Superior Double Room,Rio de Janeiro,Brazil
"Copacabana Palace, A Belmond Hotel, Rio de Janeiro",Exceptional,9.5,"1,495",,Superior Double or Twin Room with City View,Rio de Janeiro,Brazil
El Misti Hostel Ipanema,Excellent,8.6,"2,791",149,Budget Private Room Ensuite,Rio de Janeiro,Brazil
eSuites Hotel Recreio Shopping,Excellent,8.8,"3,694",86,Double Room,Rio de Janeiro,Brazil
Hilton Copacabana Rio de Janeiro,Very Good,8.3,"3,927",,King Room with Ocean View,Rio de Janeiro,Brazil
Hotel Arpoador,Excellent,8.7,"1,194",340,Double or Twin Room,Rio de Janeiro,Brazil
Hotel Astoria Copacabana,Good,7.9,"7,645",180,Suite with Hot Tub,Rio de Janeiro,Brazil
Hotel Astoria Palace,Very Good,8.1,"8,023",,Standard Double Room,Rio de Janeiro,Brazil
Hotel Atlântico Travel Copacabana,Good,7.2,"13,944",59,Standard Triple Room,Rio de Janeiro,Brazil
Hotel Bandeirantes,Very Good,8,"6,670",84,Double Room,Rio de Janeiro,Brazil
Hotel Diplomata Copacabana,Very Good,8.4,"2,376",74,Standard Triple Room,Rio de Janeiro,Brazil
Hotel Nacional Rio de Janeiro - OFICIAL,Excellent,8.6,"5,828",140,Deluxe Room Mountain View,Rio de Janeiro,Brazil
Hotelinho Urca Guest House,Wonderful,9.2,687,64,Standard Double Suite,Rio de Janeiro,Brazil
ibis budget RJ Praia de Botafogo,Good,7.7,"4,007",,Classic Double Room,Rio de Janeiro,Brazil
ibis Rio de Janeiro Barra da Tijuca,Very Good,8.1,"4,029",,Standard Double Room - Disability Access,Rio de Janeiro,Brazil
ibis Rio de Janeiro Centro,Good,7.5,"2,806",,Standard Double Room,Rio de Janeiro,Brazil
ibis Rio de Janeiro Santos Dumont,Good,7.8,"6,749",,Twin Room,Rio de Janeiro,Brazil
ibis Styles Rio de Janeiro Botafogo,Very Good,8.2,"1,733",,Standard Apartment with Two Single Beds,Rio de Janeiro,Brazil
Injoy Lofts & Studios Ipanema,Excellent,8.6,866,97,Standard Triple Studio (no elevator),Rio de Janeiro,Brazil
Intercity Rio de Janeiro Porto Maravilha,Very Good,8.4,"2,744",90,Standard PwD Disability Access - 1 King Bed,Rio de Janeiro,Brazil
Ipanema Beach Hostel,Excellent,8.6,"1,406",159,Junior Suite with Balcony,Rio de Janeiro,Brazil
Ipanema Inn Hotel,Excellent,8.8,"1,406",300,Standard Room,Rio de Janeiro,Brazil
Itajubá Hotel,Good,7.4,"10,173",,Double Room with Double bed,Rio de Janeiro,Brazil
JANEIRO Hotel,Wonderful,9.1,414,796,Deluxe Double Room,Rio de Janeiro,Brazil
Linx Galeão,Very Good,8.3,"7,078",115,Standard Double Room,Rio de Janeiro,Brazil
Mango Tree Ipanema,Very Good,8.1,560,69,Standard Double Room with Shared Bathroom,Rio de Janeiro,Brazil
Mengo Palace Hotel,Very Good,8.2,"2,342",52,Standard Double Room,Rio de Janeiro,Brazil
Miramar By Windsor Copacabana,Wonderful,9,"4,875",261,Superior Double Room with Partial Ocean View,Rio de Janeiro,Brazil
Modernistas Arte,Exceptional,9.5,33,64,Double Room with Balcony,Rio de Janeiro,Brazil
Novotel Rio de Janeiro Leme,Very Good,8.2,"2,504",,Superior Twin Room,Rio de Janeiro,Brazil
Novotel RJ Porto Atlantico,Very Good,8.1,"1,169",,Standard Apartment with One Double Bed,Rio de Janeiro,Brazil
Novotel RJ Santos Dumont,Very Good,8.2,"1,475",,Superior Queen Room,Rio de Janeiro,Brazil
Olinda Rio Hotel,Excellent,8.6,"3,064",237,Luxury Double Room with Sea View,Rio de Janeiro,Brazil
Orla Copacabana Hotel,Very Good,8.5,"4,304",161,Standard Double Room,Rio de Janeiro,Brazil
Pestana Rio Atlantica,Very Good,8,"3,902",205,Standard Apartment,Rio de Janeiro,Brazil
Petit Rio Hotel,Very Good,8.3,"3,541",57,Standard Double Room,Rio de Janeiro,Brazil
Regency Park Hotel,Good,7.9,"2,624",104,Standard King Room,Rio de Janeiro,Brazil
Riale Imperial Flamengo,Very Good,8.4,"2,376",55,Superior Triple Room,Rio de Janeiro,Brazil
Riale Vilamar Copacabana,Excellent,8.7,"2,779",106,Superior Triple Room,Rio de Janeiro,Brazil
Rio Aeroporto Hotel Galeão,Good,7,"4,363",91,Deluxe Double Room,Rio de Janeiro,Brazil
Rio Othon Palace,Very Good,8,"11,245",182,Superior Lateral Mar,Rio de Janeiro,Brazil
Ritz Copacabana Hotel,Very Good,8.2,"1,782",178,Standard Double or Twin Room,Rio de Janeiro,Brazil
Ritz Leblon,Very Good,8.3,"1,194",213,Superior Double Room,Rio de Janeiro,Brazil
Royal Regency Palace Hotel,Very Good,8.2,"6,434",87,Standard Double Room,Rio de Janeiro,Brazil
Royal Rio Palace Hotel,Good,7.9,"11,864",151,Standard Double Room with Double Bed,Rio de Janeiro,Brazil
Santa Vista Rio,Excellent,8.6,950,112,Standard Double Suite,Rio de Janeiro,Brazil
Savoy Othon,Very Good,8,"4,546",109,Superior Room,Rio de Janeiro,Brazil
Scorial Rio Hotel,Wonderful,9.1,"3,918",71,Standard Double Room,Rio de Janeiro,Brazil
Sol Ipanema Hotel,Very Good,8.4,"1,700",318,Standard Room,Rio de Janeiro,Brazil
